Пасп_имя_ГТУ;Тип_ГТУ;Класс_ГТУ;Производитель_ГТУ;Мощность_МВт;Уставки_вибрации_ед;Недопустимо;Тр_пр_мер;Допустимо;Хорошо;Отлично;TypeGPA
Паспортное наименование ГТУ;Тип (модель) ГТУ;Класс ГТУ;Производитель ГТУ;Мощность, МВт;Уставки вибрации ед.;Недопустимо;Тр.пр.мер;Допустимо;Хорошо;Отлично;Тип ГПА
Газотурбинная установка ;ГТ 750-6 А2;стационарный;1 Брненский машиностроительный завод (Чехия);6;Vскз, мм/с;V >=11,2;11,2> V >=7,1;7,1> V >=4,5;4,5> V >=1,8;V <1,8;ГТ-750-6 
Газотурбинная установка ;ГТК-10-4;стационарный;"АО ""Невский завод"" (Российская Федерация)";10;Vскз, мм/с;V >=11,2;11,2> V >=7,1;7,1> V >=4,5;4,5> V >=1,8;V <1,8;ГТК-10 
Gas turbine MS 3142;MS3002;Стационар;General Electric;10;Vскз, мм/с;V >=18;18> V >=9,0;9,0> V >=5,0;5,0> V >=2,7;V <2,7;ГТК-10И
Gas turbine MS 3142;MS3002R;Стационар;General Electric;10;Vскз, мм/с;V >=18;18> V >=9,0;9,0> V >=5,0;5,0> V >=2,7;V <2,7;ГТК-10И(Р) 
Газотурбинная установка ГТН-16М-1 с нагнетателем природного газа;ГТН-16М-1;Стационар;ПО ТМЗ;16;Vскз, мм/с;V >=18;18> V >=12;12> V >=6,5;6,5> V >=4,5;V <4,5;ГТН-16М1 
Газотурбинный двигатель ДР59Л;ДР59Л;судовой;"ОАО ""Констар""";10;Vскз, мм/с;V >=23;23> V >=17;17> V >=10;10> V >=7;V <7;ГПУ-10 
Двигатель ДГ 90Л2.1;ДГ 90Л2.1;Судовой;"ГП НПКГ ""Зоря-Машпроект""";16.7;Vскз, мм/с;V >=20;20> V >=16;16> V >=8;8> V >=5;V <5;ГПА-Ц1-16С/76-1,44 
Агрегат газоперекачивающий ГПА-Ц-25НК/РМ.СМ;НК-36СТ;авиационный;"г.Самара ОАО ""Кузнецов""";25;Vпик/скз, мм/с;V >=60;60> V >=40;40> V >=22;22> V >=15;V <15,0;ГПА-Ц-25НК/РМ.СМ 
Агрегат газоперекачивающий ГПА-Ц-25НК/РМ.СМ;ПС-90ГП-25 ;авиационный;"г.Самара ОАО ""Кузнецов""";25;Vпик/скз, мм/с;V >=60;60> V >=40;40> V >=22;22> V >=15;V <15,0;ГПА-Ц-25НК/РМ.СМ 
